DATE_ID,DATE_ACTUAL,YEAR,MONTH,DAY,DAY_NAME,MONTH_NAME,WEEK_OF_YEAR
20161106,2016-11-06,2016,11,6,Sun,Nov,44
20151212,2015-12-12,2015,12,12,Sat,Dec,50
20170706,2017-07-06,2017,7,6,Thu,Jul,27
20150210,2015-02-10,2015,2,10,Tue,Feb,7
20170102,2017-01-02,2017,1,2,Mon,Jan,1
20180107,2018-01-07,2018,1,7,Sun,Jan,1
20160103,2016-01-03,2016,1,3,Sun,Jan,53
20150704,2015-07-04,2015,7,4,Sat,Jul,27
20150905,2015-09-05,2015,9,5,Sat,Sep,36
20160512,2016-05-12,2016,5,12,Thu,May,19
20180603,2018-06-03,2018,6,3,Sun,Jun,22
20160305,2016-03-05,2016,3,5,Sat,Mar,9
20170409,2017-04-09,2017,4,9,Sun,Apr,14
20180503,2018-05-03,2018,5,3,Thu,May,18
20150710,2015-07-10,2015,7,10,Fri,Jul,28
20150806,2015-08-06,2015,8,6,Thu,Aug,32
20180105,2018-01-05,2018,1,5,Fri,Jan,1
20180506,2018-05-06,2018,5,6,Sun,May,18
20171012,2017-10-12,2017,10,12,Thu,Oct,41
20160106,2016-01-06,2016,1,6,Wed,Jan,1
20150311,2015-03-11,2015,3,11,Wed,Mar,11
20160803,2016-08-03,2016,8,3,Wed,Aug,31
20171212,2017-12-12,2017,12,12,Tue,Dec,50
20160205,2016-02-05,2016,2,5,Fri,Feb,5
20181105,2018-11-05,2018,11,5,Mon,Nov,45
20180507,2018-05-07,2018,5,7,Mon,May,19
20170404,2017-04-04,2017,4,4,Tue,Apr,14
20170410,2017-04-10,2017,4,10,Mon,Apr,15
20181112,2018-11-12,2018,11,12,Mon,Nov,46
20150707,2015-07-07,2015,7,7,Tue,Jul,28
20170407,2017-04-07,2017,4,7,Fri,Apr,14
20160708,2016-07-08,2016,7,8,Fri,Jul,27
20150211,2015-02-11,2015,2,11,Wed,Feb,7
20170710,2017-07-10,2017,7,10,Mon,Jul,28
20160903,2016-09-03,2016,9,3,Sat,Sep,35
20150807,2015-08-07,2015,8,7,Fri,Aug,32
20171007,2017-10-07,2017,10,7,Sat,Oct,40
20170201,2017-02-01,2017,2,1,Wed,Feb,5
20150309,2015-03-09,2015,3,9,Mon,Mar,11
20161107,2016-11-07,2016,11,7,Mon,Nov,45
20170208,2017-02-08,2017,2,8,Wed,Feb,6
20180301,2018-03-01,2018,3,1,Thu,Mar,9
20150601,2015-06-01,2015,6,1,Mon,Jun,23
20160401,2016-04-01,2016,4,1,Fri,Apr,13
20160810,2016-08-10,2016,8,10,Wed,Aug,32
20180410,2018-04-10,2018,4,10,Tue,Apr,15
20170302,2017-03-02,2017,3,2,Thu,Mar,9
20180810,2018-08-10,2018,8,10,Fri,Aug,32
20180607,2018-06-07,2018,6,7,Thu,Jun,23
20150203,2015-02-03,2015,2,3,Tue,Feb,6
20150208,2015-02-08,2015,2,8,Sun,Feb,6
20160702,2016-07-02,2016,7,2,Sat,Jul,26
20170107,2017-01-07,2017,1,7,Sat,Jan,1
20150505,2015-05-05,2015,5,5,Tue,May,19
20160704,2016-07-04,2016,7,4,Mon,Jul,27
20180906,2018-09-06,2018,9,6,Thu,Sep,36
20161009,2016-10-09,2016,10,9,Sun,Oct,40
20150804,2015-08-04,2015,8,4,Tue,Aug,32
20170402,2017-04-02,2017,4,2,Sun,Apr,13
20170610,2017-06-10,2017,6,10,Sat,Jun,23
20160703,2016-07-03,2016,7,3,Sun,Jul,26
20180404,2018-04-04,2018,4,4,Wed,Apr,14
20180502,2018-05-02,2018,5,2,Wed,May,18
20150609,2015-06-09,2015,6,9,Tue,Jun,24
20150511,2015-05-11,2015,5,11,Mon,May,20
20170912,2017-09-12,2017,9,12,Tue,Sep,37
20150407,2015-04-07,2015,4,7,Tue,Apr,15
20170801,2017-08-01,2017,8,1,Tue,Aug,31
20180612,2018-06-12,2018,6,12,Tue,Jun,24
20180402,2018-04-02,2018,4,2,Mon,Apr,14
20160802,2016-08-02,2016,8,2,Tue,Aug,31
20150701,2015-07-01,2015,7,1,Wed,Jul,27
20150810,2015-08-10,2015,8,10,Mon,Aug,33
20180207,2018-02-07,2018,2,7,Wed,Feb,6
20160601,2016-06-01,2016,6,1,Wed,Jun,22
20181208,2018-12-08,2018,12,8,Sat,Dec,49
20171010,2017-10-10,2017,10,10,Tue,Oct,41
20150301,2015-03-01,2015,3,1,Sun,Mar,9
20180905,2018-09-05,2018,9,5,Wed,Sep,36
20180604,2018-06-04,2018,6,4,Mon,Jun,23
20170603,2017-06-03,2017,6,3,Sat,Jun,22
20150503,2015-05-03,2015,5,3,Sun,May,18
20161109,2016-11-09,2016,11,9,Wed,Nov,45
20170204,2017-02-04,2017,2,4,Sat,Feb,5
20150110,2015-01-10,2015,1,10,Sat,Jan,2
20170604,2017-06-04,2017,6,4,Sun,Jun,22
20150805,2015-08-05,2015,8,5,Wed,Aug,32
20160602,2016-06-02,2016,6,2,Thu,Jun,22
20160806,2016-08-06,2016,8,6,Sat,Aug,31
20150802,2015-08-02,2015,8,2,Sun,Aug,31
20161111,2016-11-11,2016,11,11,Fri,Nov,45
20170508,2017-05-08,2017,5,8,Mon,May,19
20171103,2017-11-03,2017,11,3,Fri,Nov,44
20150107,2015-01-07,2015,1,7,Wed,Jan,2
20160409,2016-04-09,2016,4,9,Sat,Apr,14
20150607,2015-06-07,2015,6,7,Sun,Jun,23
20150202,2015-02-02,2015,2,2,Mon,Feb,6
20170702,2017-07-02,2017,7,2,Sun,Jul,26
20160812,2016-08-12,2016,8,12,Fri,Aug,32
20150108,2015-01-08,2015,1,8,Thu,Jan,2
20170403,2017-04-03,2017,4,3,Mon,Apr,14
20181106,2018-11-06,2018,11,6,Tue,Nov,45
20160406,2016-04-06,2016,4,6,Wed,Apr,14
20170105,2017-01-05,2017,1,5,Thu,Jan,1
20170303,2017-03-03,2017,3,3,Fri,Mar,9
20180809,2018-08-09,2018,8,9,Thu,Aug,32
20161007,2016-10-07,2016,10,7,Fri,Oct,40
20180109,2018-01-09,2018,1,9,Tue,Jan,2
20170908,2017-09-08,2017,9,8,Fri,Sep,36
20150812,2015-08-12,2015,8,12,Wed,Aug,33
20150608,2015-06-08,2015,6,8,Mon,Jun,24
20180705,2018-07-05,2018,7,5,Thu,Jul,27
20180606,2018-06-06,2018,6,6,Wed,Jun,23
20161012,2016-10-12,2016,10,12,Wed,Oct,41
20180804,2018-08-04,2018,8,4,Sat,Aug,31
20161010,2016-10-10,2016,10,10,Mon,Oct,41
20180505,2018-05-05,2018,5,5,Sat,May,18
20160906,2016-09-06,2016,9,6,Tue,Sep,36
20150204,2015-02-04,2015,2,4,Wed,Feb,6
20150205,2015-02-05,2015,2,5,Thu,Feb,6
20171003,2017-10-03,2017,10,3,Tue,Oct,40
20160807,2016-08-07,2016,8,7,Sun,Aug,31
20170305,2017-03-05,2017,3,5,Sun,Mar,9
20170202,2017-02-02,2017,2,2,Thu,Feb,5
20160910,2016-09-10,2016,9,10,Sat,Sep,36
20170602,2017-06-02,2017,6,2,Fri,Jun,22
20160508,2016-05-08,2016,5,8,Sun,May,18
20160506,2016-05-06,2016,5,6,Fri,May,18
20170108,2017-01-08,2017,1,8,Sun,Jan,1
20150712,2015-07-12,2015,7,12,Sun,Jul,28
20150912,2015-09-12,2015,9,12,Sat,Sep,37
20161005,2016-10-05,2016,10,5,Wed,Oct,40
20170903,2017-09-03,2017,9,3,Sun,Sep,35
20180909,2018-09-09,2018,9,9,Sun,Sep,36
20150711,2015-07-11,2015,7,11,Sat,Jul,28
20160501,2016-05-01,2016,5,1,Sun,May,17
20170308,2017-03-08,2017,3,8,Wed,Mar,10
